StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL027,274.3,427.94,135.79,37.83,173.66,2.76
DL027,273.48,425.08,76.06,33.51,109.6,3.42
DL027,263.1,411.79,99.44,33.35,132.88,3.58
DL027,128.49,196.11,25.42,24.7,50.14,2.05
DL027,87.98,143.62,11.72,18.46,30.17,3.16
DL027,114.07,181.38,8.12,22.36,30.5,2.23
DL027,125.01,207.97,19.09,24.25,43.35,2.33
DL027,155.47,253.16,67.64,29.61,97.26,2.89
DL027,174.67,269.62,1.79,21.72,23.51,2.74
DL027,205.27,324.93,25.84,30.84,56.7,2.84
DL027,201.88,320.16,42.02,28.79,70.79,3.19
DL027,114.44,216.64,73.95,31.8,99.49,5.32
DL027,173.34,278.76,103.95,28.19,132.23,5.21
DL027,90.05,184.05,10.89,19.32,30.21,4.78
DL027,122.27,229.76,59.72,24.99,84.67,6.18
DL027,189.74,303.16,118.72,32.22,150.94,7.1
DL027,181.39,318.47,212.59,29.9,232.56,4.97
DL027,163.85,276.33,105.39,28.07,133.44,5.81
DL027,201.2,315.52,121.04,30.49,151.72,4.0
DL027,197.28,316.61,70.36,27.8,98.25,4.53
DL027,135.88,250.61,67.87,24.82,92.75,4.64
DL027,187.34,320.48,181.67,34.08,215.71,6.11
DL027,164.88,278.58,136.81,29.65,166.45,5.68
DL027,219.72,330.58,192.2,36.99,228.89,5.84
DL027,176.03,282.39,131.87,28.31,160.16,3.95
DL027,220.26,338.08,181.59,33.95,215.89,5.33
DL027,197.85,294.62,76.11,24.6,100.75,4.83
DL027,223.72,336.57,83.28,28.42,111.69,5.18
DL027,248.1,354.42,112.19,38.74,150.9,5.45
DL027,278.83,377.68,98.82,33.63,132.38,5.39
DL027,259.21,353.24,65.01,33.88,98.91,4.61
DL027,205.67,279.23,38.46,28.43,66.96,4.24
DL027,89.28,151.26,17.61,22.28,39.9,3.17
DL027,101.84,158.52,16.49,23.54,40.02,3.48
DL027,128.81,200.45,22.18,23.29,45.47,3.39
DL027,167.04,238.11,28.13,22.32,50.49,4.37
DL027,182.79,294.08,47.54,22.68,70.2,4.94
DL027,203.31,334.75,41.56,27.28,68.86,5.52
DL027,196.41,300.55,43.56,26.83,70.38,4.76
DL027,261.53,368.86,94.59,28.06,122.58,5.9
DL027,255.76,387.43,57.2,26.88,84.08,4.66
DL027,340.79,517.64,71.58,28.32,100.06,5.19
DL027,449.61,596.79,150.7,29.64,180.33,4.21
DL027,375.1,481.57,139.02,29.4,168.39,4.19
DL027,266.38,335.55,30.9,25.53,56.41,3.51
DL027,249.58,360.7,54.65,27.27,81.91,3.75
DL027,295.36,471.1,126.47,27.56,154.02,5.78
DL027,239.83,355.69,28.07,26.46,54.66,3.89
DL027,262.88,396.19,75.48,26.18,101.67,4.48
DL027,349.38,507.08,184.05,31.61,215.69,4.0
DL027,327.06,454.07,137.44,31.69,169.19,3.41
DL027,310.33,426.48,95.04,28.55,123.6,4.44
DL027,330.09,431.66,81.07,27.22,108.39,4.24
DL027,380.88,491.33,106.03,31.25,137.28,3.94
DL027,237.2,370.48,27.24,24.61,51.85,2.8
DL027,241.48,370.71,24.3,21.71,45.95,3.29
DL027,168.11,228.64,13.38,20.13,33.52,3.06
DL027,177.4,243.18,30.07,21.43,51.5,3.6
DL027,148.74,206.89,26.52,21.62,48.13,3.56
DL027,125.0,196.49,19.44,25.53,43.87,3.19
DL027,166.79,243.84,45.51,34.8,64.84,4.87
DL027,254.7,345.5,19.69,30.38,49.72,7.36
DL027,208.35,312.73,70.94,44.7,115.52,5.44
DL027,285.73,376.27,97.24,40.23,137.55,5.09
DL027,83.91,149.3,13.4,31.59,44.99,4.52
DL027,124.74,235.21,23.52,34.52,58.04,4.39
DL027,260.23,437.01,88.85,38.77,127.59,8.37
DL027,346.67,546.08,85.81,38.18,124.0,5.97
DL027,238.43,382.01,55.87,37.48,93.52,4.27
DL027,286.01,484.81,124.58,39.99,163.8,6.42
DL027,318.94,571.26,242.26,52.99,229.87,9.29
DL027,156.24,285.7,33.75,28.3,62.04,3.61
DL027,45.35,63.96,2.96,20.25,23.27,2.92
DL027,124.09,199.24,39.11,25.13,64.27,4.22
DL027,124.99,216.16,20.51,22.81,43.32,4.88
DL027,67.56,108.89,4.28,19.75,24.03,3.62
DL027,87.03,148.14,3.26,20.07,23.33,4.86
DL027,112.48,179.95,8.71,25.02,33.71,3.97
DL027,102.41,169.06,11.34,26.03,37.36,4.55
DL027,122.32,199.53,25.21,28.15,53.36,4.98
DL027,193.73,317.73,61.53,33.04,94.57,5.73
DL027,207.98,380.03,67.14,30.18,97.32,5.94
DL027,165.54,242.31,7.75,25.45,33.13,3.85
DL027,196.7,279.08,8.53,22.73,31.24,1.99
DL027,137.55,209.14,11.0,21.64,32.63,2.4
DL027,137.51,236.41,44.33,28.53,72.85,2.83
DL027,229.26,412.25,154.98,36.67,192.32,5.58
DL027,151.81,239.04,15.32,23.86,39.2,3.47
DL027,54.57,84.76,2.98,16.48,19.44,2.23
DL027,67.48,141.14,17.28,20.95,38.15,3.0
DL027,67.85,144.58,10.26,21.4,31.68,3.32
DL027,123.7,214.15,30.54,26.96,57.46,4.39
DL027,148.52,247.53,50.82,29.91,80.68,5.07
DL027,192.57,309.96,68.45,32.52,92.44,6.65
DL027,192.09,312.46,40.94,33.6,74.54,6.79
DL027,140.33,224.07,17.88,23.74,41.61,3.48
DL027,106.91,167.35,10.04,21.03,31.06,5.7
DL027,106.71,158.6,8.51,18.15,23.63,2.28
DL027,89.85,142.41,13.14,21.55,28.82,23.72
DL027,102.55,178.64,27.07,24.47,37.99,1.78
DL027,103.38,197.03,18.71,23.8,32.6,1.34
DL027,85.57,162.41,10.52,23.3,31.91,1.63
DL027,60.0,153.22,21.19,19.62,32.71,2.14
DL027,66.08,135.28,38.96,17.9,41.07,1.27
DL027,44.83,94.84,2.03,19.84,18.86,2.19
DL027,68.66,124.31,11.93,23.43,29.24,3.3
DL027,103.58,160.34,11.65,24.55,33.65,4.97
DL027,55.57,97.46,5.26,18.0,23.26,3.74
DL027,46.47,82.31,1.71,12.63,14.69,2.93
DL027,91.86,155.97,37.22,17.09,52.72,2.35
DL027,79.27,149.14,18.26,19.05,37.29,2.96
DL027,91.05,153.41,24.15,25.18,49.26,4.69
DL027,53.62,79.17,7.33,13.15,20.47,2.49
DL027,103.27,166.82,45.56,15.34,60.92,2.13
DL027,53.11,97.01,9.25,16.6,25.85,1.49
DL027,74.29,132.79,17.87,18.93,36.82,2.29
DL027,93.3,171.14,35.85,19.69,55.53,3.31
DL027,83.17,160.6,21.9,19.06,40.95,3.88
DL027,56.17,122.01,3.87,12.56,16.43,3.73
DL027,61.77,124.65,4.08,15.87,19.96,3.47
DL027,73.45,174.06,7.52,17.86,25.4,5.61
DL027,45.49,102.28,2.21,11.21,11.03,2.42
DL027,85.66,207.15,8.86,27.42,31.37,6.8
DL027,109.2,182.94,23.66,22.51,46.16,6.69
DL027,61.3,111.09,14.34,22.07,36.42,5.9
DL027,50.64,106.21,2.66,22.1,24.77,4.75
DL027,72.61,128.21,14.33,24.24,38.59,5.52
DL027,81.15,145.85,19.4,26.44,45.82,5.63
DL027,81.05,162.65,19.34,26.3,45.61,6.09
DL027,77.18,182.46,12.62,24.64,37.22,7.39
DL027,103.21,157.52,3.43,16.24,19.65,9.03
DL027,28.84,89.81,1.08,13.07,14.13,5.53
DL027,38.52,106.17,1.14,16.48,17.61,5.04
DL027,44.55,103.57,4.43,15.61,20.04,6.15
DL027,50.68,112.74,3.45,15.72,19.17,7.61
DL027,58.42,115.51,6.0,18.96,24.94,6.32
DL027,62.68,122.08,9.84,23.13,32.95,6.97
DL027,100.59,190.41,37.34,26.85,64.18,9.93
