StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL003,336.3,505.2,46.95,38.52,58.76,11.17
DL003,356.08,542.48,39.29,32.18,49.08,11.61
DL003,340.12,493.25,56.95,51.49,73.82,15.22
DL003,178.81,260.19,47.8,58.8,70.22,12.24
DL003,117.67,180.9,32.87,55.01,56.07,14.57
DL003,165.29,252.33,30.08,54.19,53.34,16.68
DL003,168.92,282.06,53.84,58.3,74.93,17.42
DL003,216.35,341.06,96.86,65.47,113.8,13.33
DL003,221.67,336.52,27.83,55.06,51.95,18.58
DL003,267.35,385.29,71.04,67.84,94.01,19.64
DL003,234.35,345.35,62.83,57.44,81.75,16.2
DL003,170.71,348.0,98.07,59.82,129.23,15.55
DL003,237.95,399.72,89.82,67.32,123.81,24.36
DL003,120.43,261.92,36.5,53.29,58.09,24.49
DL003,157.71,294.67,86.79,61.14,103.21,29.05
DL003,251.53,412.29,153.69,66.88,160.86,29.55
DL003,256.54,384.82,253.37,64.62,269.33,19.11
DL003,241.08,350.23,166.04,35.1,153.98,13.24
DL003,262.64,385.37,59.41,4.76,50.93,9.79
DL003,230.54,342.81,20.96,4.14,19.16,17.66
DL003,200.96,313.67,25.2,4.55,22.96,15.37
DL003,221.56,345.62,47.75,5.02,41.56,14.56
DL003,250.06,381.02,53.16,8.71,48.0,15.43
DL003,286.23,407.12,87.89,18.25,81.38,11.51
DL003,225.98,337.81,54.42,21.69,55.91,12.28
DL003,283.25,366.96,71.86,25.63,72.21,14.38
DL003,238.56,319.69,38.11,25.38,44.57,13.93
DL003,256.58,337.16,36.2,24.57,42.59,15.52
DL003,251.85,318.46,37.87,25.67,44.04,17.28
DL003,344.9,415.92,49.58,25.91,54.19,18.17
DL003,358.4,447.62,58.82,26.1,62.37,14.36
DL003,308.73,373.75,37.46,43.29,49.62,15.16
DL003,103.1,146.1,7.47,46.81,31.0,14.55
DL003,140.15,199.34,11.77,52.29,37.45,17.5
DL003,144.25,204.0,14.16,59.77,43.34,18.47
DL003,180.48,257.73,29.81,63.5,58.05,23.19
DL003,216.02,307.6,47.28,72.44,77.06,27.83
DL003,230.4,319.75,33.36,73.0,66.02,30.73
DL003,257.97,357.76,49.86,71.45,78.69,26.3
DL003,333.62,434.76,103.47,67.72,120.36,24.97
DL003,305.27,395.68,26.44,17.13,30.67,22.16
DL003,410.6,510.65,21.19,6.92,20.9,22.24
DL003,575.67,667.62,19.92,10.65,21.91,16.8
DL003,500.96,586.54,32.24,39.05,47.05,19.82
DL003,304.64,380.99,14.81,70.5,49.6,20.39
DL003,322.29,431.15,60.31,67.93,85.3,16.44
