Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,330.5575,476.2675,74.2575,80.095,102.11499999999998,14.567499999999999
2018-11-12,352.855,510.62,73.275,82.85999999999999,100.19999999999999,14.5125
2018-11-13,331.9575,481.175,86.915,80.155,113.4875,15.63
2018-11-14,172.18,252.8225,43.07,63.53,68.895,14.7675
2018-11-15,123.1575,186.98,30.78,57.88250000000001,55.5575,13.36
2018-11-16,167.06,249.5025,17.77,48.94,40.510000000000005,15.0275
2018-11-17,172.445,272.45250000000004,26.300000000000004,51.1125,48.6375,15.720000000000002
2018-11-18,205.6275,334.075,51.239999999999995,67.36,77.565,14.087499999999999
2018-11-19,212.565,336.245,21.71,62.339999999999996,50.8525,15.282499999999999
2018-11-20,262.93,399.6325,46.0075,66.9225,73.105,15.7375
2018-11-21,235.4375,352.4825,44.94,63.2475,70.28,15.0475
2018-11-22,181.1,341.9925,85.39750000000001,68.2575,110.285,18.259999999999998
2018-11-23,225.585,373.355,81.80499999999999,66.235,105.215,19.715
2018-11-24,122.735,239.77750000000003,27.869999999999997,53.76,51.3425,19.647499999999997
2018-11-25,167.4025,294.6175,55.52250000000001,62.802499999999995,78.905,20.395000000000003
2018-11-26,245.15500000000003,403.21500000000003,116.785,76.24000000000001,137.195,24.17
2018-11-27,250.21999999999997,418.3975,190.0425,85.19,232.51250000000002,17.677500000000002
2018-11-28,232.3425,371.445,129.52249999999998,69.54,158.45,16.752499999999998
2018-11-29,258.9375,392.685,90.8175,55.26,103.3175,15.385
2018-11-30,227.715,346.3625,43.4525,44.85,59.065000000000005,17.982499999999998
2018-12-01,188.695,310.27250000000004,48.4125,46.832499999999996,63.945,17.8825
2018-12-02,225.13,363.23,82.17750000000001,63.3375,104.655,18.169999999999998
2018-12-03,249.0,389.0975,93.56,63.265,122.10499999999999,22.3875
2018-12-04,311.39,471.105,158.1125,110.795,208.065,21.325
2018-12-05,237.185,362.11,126.13750000000002,95.675,106.4325,21.5725
2018-12-06,277.50250000000005,405.65999999999997,59.654999999999994,54.887499999999996,91.7775,20.134999999999998
2018-12-07,242.21500000000003,358.045,55.60499999999999,39.552499999999995,66.555,20.575
2018-12-08,254.23000000000002,355.975,59.337500000000006,48.324999999999996,74.0725,20.849999999999998
2018-12-09,264.45,368.625,68.00999999999999,42.322500000000005,78.285,21.682499999999997
2018-12-10,333.25,460.24000000000007,72.37,51.527499999999996,86.38749999999999,20.41
2018-12-11,340.9125,486.09749999999997,91.805,65.6975,109.9175,17.88
2018-12-12,274.8725,368.5025,56.9225,61.0925,77.91,19.802500000000002
2018-12-13,110.3425,160.4975,22.1075,49.9975,44.910000000000004,21.1675
2018-12-14,147.1675,212.305,23.895,56.167500000000004,49.3575,19.65
2018-12-15,146.155,223.10249999999996,19.795,63.4575,49.8975,20.025
2018-12-16,184.04999999999998,275.1325,40.082499999999996,69.795,69.82,25.182500000000005
2018-12-17,218.70499999999998,333.955,57.8225,76.44749999999999,87.80000000000001,27.0975
2018-12-18,237.89000000000001,356.3625,39.6175,75.155,72.2725,25.745
2018-12-19,261.775,385.175,52.2825,75.7225,82.9225,28.725
2018-12-20,341.865,488.765,113.11749999999999,83.33999999999999,139.11,27.2325
2018-12-21,310.6625,407.72,49.3025,67.6075,76.1225,21.4025
2018-12-22,407.23,545.525,72.5375,85.33,104.12750000000001,28.682499999999997
2018-12-23,535.2675,652.305,133.1525,103.93,153.315,23.6375
2018-12-24,473.285,609.085,134.4625,102.5025,163.38,22.317499999999995
2018-12-25,310.425,408.33000000000004,19.314999999999998,81.28,59.0175,19.925
2018-12-26,329.0725,393.28499999999997,47.49,83.595,94.88749999999999,23.294999999999998
2018-12-27,373.17999999999995,516.675,119.5675,121.23750000000001,153.45,19.205000000000002
2018-12-28,301.35749999999996,406.96500000000003,28.105,80.33749999999999,65.61500000000001,20.0475
2018-12-29,320.545,431.4675,75.43,89.985,111.85499999999999,20.6875
2018-12-30,449.18999999999994,586.385,153.95749999999998,99.1525,171.47500000000002,20.9975
2018-12-31,366.5475,513.6424999999999,85.6225,82.58749999999999,113.665,16.942500000000003
2019-01-01,368.505,512.4325,91.45,84.93,125.75250000000003,22.0775
2019-01-02,430.75,588.665,125.63,97.04,163.2475,21.665
2019-01-03,461.44499999999994,589.995,67.445,80.2175,110.28,16.04
2019-01-04,293.98,410.33000000000004,37.9675,68.34,67.2975,16.0975
2019-01-05,291.8175,428.49,69.3925,86.69749999999999,102.03999999999999,18.790000000000003
2019-01-06,190.5725,258.3375,23.175,68.1375,54.585,17.515
2019-01-07,218.08749999999998,304.425,45.445,73.125,75.9375,19.410000000000004
2019-01-08,176.23499999999999,244.80499999999998,16.6375,59.625,45.275,19.6325
2019-01-09,163.8725,236.07999999999998,13.515,61.1725,43.167500000000004,19.38
2019-01-10,197.6225,281.5725,38.377500000000005,75.395,74.075,21.5425
2019-01-11,335.12,446.84000000000003,128.065,114.525,172.16750000000002,19.415
2019-01-12,351.4825,481.18000000000006,101.355,118.33,146.05,16.0025
2019-01-13,294.2,409.6725,68.98,91.73249999999999,107.27499999999999,19.2325
2019-01-14,104.10500000000002,175.99,11.9525,54.330000000000005,38.4,18.127499999999998
2019-01-15,151.6875,232.1975,25.877499999999998,67.3375,56.6475,21.0775
2019-01-16,315.765,447.76,105.39999999999999,118.295,156.2,24.0825
2019-01-17,373.4025,498.99,95.6,114.29999999999998,142.8925,25.345
2019-01-18,266.8225,364.655,49.1825,88.735,85.91999999999999,22.4025
2019-01-19,323.50249999999994,404.23,101.07999999999998,98.2175,133.01749999999998,25.845
2019-01-20,408.6275,534.7775,173.10250000000002,140.66,241.73250000000002,23.85
2019-01-21,210.48,322.0225,85.36,87.0975,118.58000000000001,22.725
2019-01-22,62.459999999999994,80.78999999999999,17.375,49.365,39.4825,16.2725
2019-01-23,174.4775,248.1375,57.42,69.14750000000001,83.63250000000001,19.285
2019-01-24,142.135,229.70999999999998,33.765,62.53,60.31,18.61
2019-01-25,91.375,148.76999999999998,9.6725,56.845,37.735,19.775000000000002
2019-01-26,120.215,191.39,13.175,52.81,37.225,20.0225
2019-01-27,158.52249999999998,233.59499999999997,13.4275,64.3925,45.0925,23.8875
2019-01-28,156.77249999999998,236.21250000000003,19.105,82.4275,58.78000000000001,23.1325
2019-01-29,155.9175,243.69250000000002,26.362500000000004,76.0925,61.3625,26.97
2019-01-30,246.3875,355.53,59.8725,94.58749999999999,98.49,33.745000000000005
2019-01-31,227.0425,360.615,88.89750000000001,96.3675,120.14750000000001,25.8325
2019-02-01,208.225,295.425,29.425,69.41749999999999,60.692499999999995,25.47
2019-02-02,205.575,290.22249999999997,12.9525,46.072500000000005,34.285,16.830000000000002
2019-02-03,156.0325,228.7,19.162499999999998,45.3525,39.635,18.47
2019-02-04,195.4275,310.4475,65.7025,76.9125,94.16499999999999,21.925
2019-02-05,331.3625,498.7625,150.79250000000002,120.9975,196.20499999999998,29.2275
2019-02-06,203.8025,302.7875,48.0,61.004999999999995,71.4,18.565
2019-02-07,74.82249999999999,130.7025,9.4425,34.004999999999995,25.435,14.095000000000002
2019-02-08,85.3525,158.1225,32.082499999999996,51.947500000000005,53.7575,17.1475
2019-02-09,100.79749999999999,180.09,21.2525,55.1075,46.627500000000005,20.7575
2019-02-10,169.53750000000002,271.3275,47.277499999999996,72.0475,76.855,24.75
2019-02-11,205.55499999999998,327.40749999999997,85.565,83.91000000000001,114.27250000000001,26.077499999999997
2019-02-12,241.46,375.4275,91.92,90.695,122.27250000000001,26.465
2019-02-13,212.175,334.9525,79.64750000000001,100.7825,123.1925,23.4275
2019-02-14,174.10999999999999,250.29,33.947500000000005,76.7425,68.3425,19.365
2019-02-15,151.73999999999998,210.4375,31.152499999999996,62.6725,58.69749999999999,18.947499999999998
2019-02-16,129.8525,184.27750000000003,14.3325,49.347500000000004,37.947500000000005,15.620000000000001
2019-02-17,118.8675,184.1425,24.2025,60.1125,51.695,19.345
2019-02-18,122.475,212.7,28.902499999999996,73.825,62.85,20.457500000000003
2019-02-19,149.7975,235.57500000000002,47.6,79.41,81.0925,19.9225
2019-02-20,118.42500000000001,196.25,54.81,73.00999999999999,83.5175,18.66
2019-02-21,86.515,198.3225,65.7575,64.035,87.66,24.734999999999996
2019-02-22,87.0075,159.34500000000003,29.0275,46.6475,48.5325,15.405000000000001
2019-02-23,71.405,135.0575,12.99,52.03,38.2675,18.99
2019-02-24,102.9325,167.4575,19.165,62.1275,48.6825,23.92
2019-02-25,94.1375,170.0175,22.5675,67.88749999999999,54.50000000000001,20.7925
2019-02-26,68.52499999999999,134.9725,32.81,61.68,59.5675,17.08
2019-02-27,58.160000000000004,102.9275,15.672500000000001,48.58,38.565,16.575
2019-02-28,115.7625,196.75,45.2975,60.46,67.38,22.2975
2019-03-01,109.3525,193.155,37.57000000000001,64.74000000000001,65.08,19.572499999999998
2019-03-02,121.8375,196.99250000000004,47.795,80.27250000000001,81.5275,20.275000000000002
2019-03-03,76.3525,126.27000000000001,30.9375,55.81,54.93,15.115
2019-03-04,122.8125,200.01749999999998,56.7275,49.89750000000001,72.775,16.615
2019-03-05,82.29249999999999,157.5025,20.175,53.949999999999996,44.96,18.450000000000003
2019-03-06,102.5125,186.72,33.7475,64.64750000000001,61.9075,20.7975
2019-03-07,128.0475,230.46500000000003,48.692499999999995,69.325,76.57,21.92
2019-03-08,89.8425,183.73250000000002,31.365,65.9575,60.6725,20.5825
2019-03-09,80.8425,147.02249999999998,19.3275,54.175,44.557500000000005,24.33
2019-03-10,87.39750000000001,157.82,22.57,65.62,53.3275,24.6875
2019-03-11,93.445,169.0625,34.3475,74.045,67.36749999999999,26.205
2019-03-12,58.07,111.9225,9.475,47.8,33.145,15.692499999999999
2019-03-13,92.27749999999999,187.73000000000002,26.03,69.4425,58.1525,27.707500000000003
