Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,322.09000000000003,497.895,66.6,56.230000000000004,79.235,11.225
2018-11-12,354.655,538.145,57.745000000000005,49.625,70.175,12.21
2018-11-13,345.5,510.995,84.525,56.675,89.35,14.15
2018-11-14,174.51999999999998,260.765,46.584999999999994,55.37,60.875,12.49
2018-11-15,124.14500000000001,196.94,30.979999999999997,50.54,55.22,12.100000000000001
2018-11-16,167.845,269.75,18.61,50.07,38.585,13.44
2018-11-17,174.20999999999998,298.95500000000004,23.840000000000003,53.269999999999996,44.295,13.760000000000002
2018-11-18,221.755,364.04499999999996,46.7,58.915,78.945,11.434999999999999
2018-11-19,217.325,356.09000000000003,21.36,51.835,48.69,14.114999999999998
2018-11-20,269.55,438.56,42.445,54.635000000000005,76.51,15.245000000000001
2018-11-21,234.675,384.71500000000003,46.425,52.34,76.21000000000001,13.2
2018-11-22,184.02,378.69,95.125,52.54,107.365,16.475
2018-11-23,225.74,415.765,89.28999999999999,53.785,102.15,21.095
2018-11-24,121.13,270.315,29.845,50.315,52.425,19.45
2018-11-25,169.555,325.70000000000005,49.32,52.42,77.88499999999999,20.98
2018-11-26,239.275,432.79,123.85499999999999,57.36,138.51,28.5
2018-11-27,258.645,451.26,188.57,60.730000000000004,246.95499999999998,16.675
2018-11-28,247.115,413.155,131.95499999999998,41.33,157.8,15.8
2018-11-29,252.725,416.375,90.775,33.925,108.485,13.415
2018-11-30,227.24,374.615,44.31,35.04,66.47,19.91
2018-12-01,197.18,339.96000000000004,52.105000000000004,36.269999999999996,69.975,19.605
2018-12-02,235.01999999999998,398.25,76.87,37.945,109.5,19.39
2018-12-03,257.105,429.99,99.42,38.045,122.38,21.92
2018-12-04,302.81,487.37,138.45499999999998,104.67,229.19,23.205
2018-12-05,231.3,378.65,111.83,91.55,98.705,23.755000000000003
2018-12-06,284.33500000000004,429.565,63.775,48.47,73.465,20.405
2018-12-07,246.825,377.63,54.3,29.519999999999996,61.14,20.06
2018-12-08,260.245,381.995,60.77,50.095,81.515,18.57
2018-12-09,260.175,377.485,71.965,40.255,83.19,20.79
2018-12-10,333.05499999999995,461.07000000000005,75.4,51.839999999999996,85.99000000000001,17.735
2018-12-11,358.95,525.87,89.81,48.215,96.035,15.135
2018-12-12,278.095,389.105,54.065,53.405,65.41499999999999,20.189999999999998
2018-12-13,109.63499999999999,164.175,21.125,47.74,43.29,17.939999999999998
2018-12-14,151.625,226.325,22.240000000000002,49.67,46.665000000000006,18.75
2018-12-15,147.14499999999998,228.53,17.630000000000003,58.730000000000004,49.260000000000005,18.265
2018-12-16,191.065,295.77,29.75,66.24000000000001,62.42,24.810000000000002
2018-12-17,220.385,348.96500000000003,56.83,69.82499999999999,85.08,27.92
