Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,226.555,411.935,85.805,60.275000000000006,90.605,14.15
2018-11-12,270.11,476.44,109.86,77.59,117.945,15.989999999999998
2018-11-13,247.08499999999998,426.78,69.405,74.94500000000001,94.295,15.525
2018-11-14,132.29500000000002,223.79500000000002,54.95,54.19500000000001,72.625,13.085
2018-11-15,96.945,182.495,26.165,47.83,44.644999999999996,12.145
2018-11-16,146.83499999999998,237.055,8.525,41.515,27.445,11.655000000000001
2018-11-17,132.95,256.63,46.125,55.370000000000005,60.519999999999996,11.955
2018-11-18,157.905,303.305,81.025,69.44,100.96000000000001,13.504999999999999
2018-11-19,181.76,320.96500000000003,23.405,61.355,53.349999999999994,13.094999999999999
2018-11-20,210.81,372.92999999999995,60.705,66.37,83.775,14.45
2018-11-21,213.81,363.485,55.855000000000004,60.08,76.47,12.995000000000001
2018-11-22,129.355,295.14,104.67,73.19,116.225,14.975
2018-11-23,175.185,326.28499999999997,87.91,64.02,105.995,13.565
2018-11-24,98.6,227.305,29.009999999999998,48.01,49.31,12.82
2018-11-25,115.92,260.95,62.7,58.41,81.14500000000001,13.44
2018-11-26,196.04500000000002,371.11,104.28999999999999,68.025,120.13999999999999,18.755
2018-11-27,192.16,368.605,131.725,72.215,147.365,15.525
2018-11-28,190.865,357.71,124.41,72.84,129.555,15.34
2018-11-29,184.155,347.925,102.255,61.615,112.57499999999999,11.274999999999999
2018-11-30,181.885,338.22,56.43,55.15,74.21000000000001,12.305
2018-12-01,152.81,310.28499999999997,68.86500000000001,70.395,90.19,12.86
2018-12-02,159.79500000000002,311.41999999999996,147.505,78.92,157.49,13.955
2018-12-03,185.815,363.0,142.24,87.6,149.56,13.92
2018-12-04,205.21,395.78999999999996,150.88,92.14,167.87,14.775
2018-12-05,180.01999999999998,350.755,137.89499999999998,77.525,143.485,12.780000000000001
2018-12-06,225.185,413.685,171.7,90.21000000000001,194.54500000000002,14.525
2018-12-07,204.365,385.07000000000005,108.845,74.875,127.53999999999999,13.05
2018-12-08,220.69,381.8,96.66499999999999,82.535,115.9,13.165
2018-12-09,254.07,440.315,157.17000000000002,93.225,171.725,16.89
2018-12-10,299.55499999999995,515.38,139.98000000000002,82.62,147.315,14.375
2018-12-11,301.12,505.48,99.725,84.185,113.32499999999999,10.175
2018-12-12,197.755,310.41999999999996,74.34,67.1,92.74000000000001,11.344999999999999
2018-12-13,103.375,197.12,58.99,56.835,78.505,11.89
2018-12-14,119.96000000000001,222.94,46.965,55.805,69.815,12.695
2018-12-15,129.03,232.3,42.019999999999996,56.175,66.845,13.52
2018-12-16,149.79500000000002,279.22,59.045,61.515,83.14,15.540000000000001
