StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL010,221.48,483.33,84.58,54.9,98.2,28.3
DL010,241.03,523.52,90.68,58.83,105.25,29.34
DL010,223.8,458.66,60.68,58.31,80.52,26.8
DL010,108.55,222.47,24.46,36.34,39.25,24.65
DL010,99.24,197.99,18.18,31.82,31.73,19.95
DL010,156.45,279.82,17.71,27.14,28.9,22.1
DL010,129.02,290.82,24.82,31.56,37.06,19.94
DL010,165.71,370.48,65.23,44.24,76.74,22.03
DL010,158.29,327.62,8.44,37.51,26.85,25.33
DL010,213.53,416.26,28.61,43.82,46.62,33.45
DL010,213.36,411.99,31.31,31.54,42.34,22.23
DL010,147.5,449.57,90.43,39.39,94.62,25.79
DL010,164.62,337.57,69.12,33.04,73.95,24.54
DL010,106.25,253.64,14.62,22.97,24.15,22.31
DL010,115.71,304.04,37.21,29.52,46.2,21.91
DL010,200.26,474.64,81.22,35.98,85.32,26.22
DL010,204.42,546.24,189.56,50.97,181.67,23.23
DL010,154.14,434.88,103.15,47.09,109.14,22.94
DL010,201.12,420.16,71.0,37.8,78.01,18.76
DL010,185.11,364.4,37.7,32.5,48.02,19.79
DL010,152.67,374.56,58.21,34.37,65.72,20.95
DL010,192.57,448.82,149.55,43.93,145.56,26.7
DL010,121.69,429.48,131.28,45.07,131.09,22.24
DL010,201.98,446.07,132.6,51.49,135.33,21.41
DL010,198.02,445.16,119.65,43.06,120.44,21.45
DL010,237.96,520.49,206.11,58.22,198.97,21.32
DL010,218.38,419.66,89.89,38.43,93.77,20.92
DL010,227.66,441.68,102.34,40.05,104.74,21.67
DL010,248.01,436.58,142.79,56.43,146.49,23.01
DL010,259.07,530.4,123.99,58.7,132.21,22.58
DL010,280.62,539.69,93.47,59.48,107.81,19.15
DL010,175.72,332.16,62.86,43.65,74.48,20.6
DL010,71.55,208.38,33.88,30.76,44.0,18.88
DL010,122.35,233.57,35.28,30.33,44.79,17.69
DL010,147.01,254.71,20.17,31.06,32.96,18.58
DL010,171.76,333.9,33.25,34.39,45.39,20.17
DL010,217.58,461.56,80.15,40.14,86.62,21.96
DL010,219.48,404.46,58.51,41.24,69.67,23.87
DL010,136.1,438.67,63.01,44.34,75.16,24.18
DL010,135.4,553.79,147.01,48.13,145.46,22.05
DL010,93.66,512.8,95.35,45.12,101.76,20.08
DL010,206.74,530.23,94.4,56.19,106.84,21.66
DL010,172.24,584.7,121.03,59.25,130.31,20.32
DL010,361.46,578.51,163.69,56.18,163.21,20.55
DL010,286.42,462.27,46.75,40.14,59.5,16.55
DL010,236.71,389.91,58.52,42.45,70.32,19.44
DL010,264.62,510.93,117.32,61.79,128.62,21.84
DL010,274.07,458.44,47.72,57.38,69.51,21.07
DL010,260.81,474.45,83.16,57.46,98.24,20.87
DL010,323.32,481.41,169.49,68.05,174.33,23.35
DL010,394.95,680.66,188.04,71.42,191.3,23.33
DL010,166.59,453.41,104.43,65.14,119.75,19.33
DL010,200.54,472.24,141.34,76.43,155.94,20.24
DL010,330.0,534.91,94.1,56.65,106.8,16.02
DL010,255.22,502.52,61.11,50.82,76.69,17.0
DL010,285.71,519.8,102.73,68.33,120.12,18.04
DL010,176.03,279.62,11.33,54.6,38.3,17.3
DL010,164.98,352.49,59.42,45.14,72.33,19.33
DL010,168.05,316.88,33.35,40.81,48.82,18.38
DL010,163.97,313.53,23.51,42.52,41.77,20.01
DL010,179.67,427.95,81.01,50.21,92.8,22.91
DL010,311.86,586.69,188.89,87.79,221.58,25.09
DL010,369.19,661.43,202.84,87.83,212.05,21.46
DL010,266.39,473.18,56.32,66.22,81.29,20.78
DL010,112.57,236.42,15.74,32.12,29.91,22.56
DL010,144.01,297.99,39.87,39.93,53.82,22.26
DL010,271.72,538.47,98.81,75.38,120.75,25.85
DL010,363.54,637.15,125.8,85.43,172.65,26.35
DL010,199.64,476.01,78.27,81.71,91.97,14.1
DL010,272.27,382.04,130.26,58.15,137.18,21.21
DL010,209.72,546.42,193.48,71.82,195.86,24.2
DL010,82.56,298.45,28.01,50.89,49.9,18.71
DL010,57.99,83.64,9.2,34.92,26.04,17.49
DL010,129.86,244.73,58.97,36.22,67.34,19.59
DL010,144.2,305.24,48.1,41.95,61.53,18.71
DL010,96.78,164.29,12.74,31.01,26.89,19.49
DL010,115.27,246.41,7.44,27.33,20.6,23.25
DL010,80.15,279.74,13.69,30.9,27.61,21.82
DL010,64.51,293.89,22.97,34.31,36.97,20.18
DL010,113.43,340.22,37.29,37.38,50.26,28.04
DL010,186.16,391.53,61.14,42.63,72.49,30.54
DL010,88.46,377.24,61.21,47.83,75.28,24.25
DL010,107.8,303.09,14.69,34.51,30.3,21.89
DL010,65.55,310.76,14.26,19.92,22.23,16.38
DL010,39.22,245.57,14.51,18.52,21.68,16.93
DL010,89.53,290.08,54.47,28.29,59.42,17.44
DL010,225.55,483.81,112.46,48.86,117.65,22.23
DL010,145.27,255.1,14.04,34.68,29.91,19.46
DL010,61.49,115.36,4.22,15.28,11.57,18.32
DL010,53.36,148.81,26.17,21.74,32.86,16.15
DL010,96.55,229.18,22.75,22.14,30.29,8.6
DL010,177.15,383.19,40.74,26.48,47.3,11.15
DL010,189.33,465.47,77.95,35.19,82.34,10.43
DL010,162.45,546.43,65.75,41.24,75.56,9.06
DL010,197.1,439.89,53.87,45.42,68.07,13.5
DL010,90.34,258.05,8.98,33.07,24.92,10.65
DL010,90.57,221.61,23.84,33.29,37.16,17.39
DL010,113.59,220.95,12.85,27.08,24.85,19.83
DL010,82.9,238.03,21.7,37.59,37.6,21.73
DL010,48.9,293.27,29.82,53.74,52.86,25.11
DL010,95.02,297.17,54.29,60.37,76.4,22.83
DL010,105.06,228.84,53.36,65.17,78.2,22.48
DL010,45.14,250.74,60.98,51.83,77.28,24.75
DL010,62.35,173.38,15.21,27.62,27.09,20.15
DL010,37.2,154.75,7.34,30.5,22.24,24.67
DL010,46.44,268.12,26.32,45.13,45.48,34.26
DL010,43.23,237.24,51.23,58.04,72.61,22.05
DL010,57.83,162.78,18.13,54.59,43.89,26.87
DL010,49.39,134.27,10.96,44.18,32.43,23.6
DL010,102.82,258.01,33.49,40.13,48.64,33.2
DL010,104.56,249.26,33.55,44.93,51.24,27.53
DL010,116.14,214.31,33.15,60.44,59.18,27.89
DL010,56.94,145.41,20.51,43.99,40.08,22.36
DL010,101.51,221.78,72.69,37.54,79.12,22.71
DL010,67.86,194.22,19.01,32.42,32.73,25.07
DL010,81.68,258.77,33.48,39.12,48.13,24.88
DL010,107.77,295.2,51.94,49.98,68.87,28.02
DL010,84.4,276.81,35.37,55.45,58.41,27.19
DL010,75.3,224.34,14.21,35.21,30.38,32.44
DL010,77.77,256.96,23.68,41.53,41.39,29.88
DL010,68.53,272.98,33.02,55.44,56.41,29.79
DL010,61.49,193.7,8.69,37.73,27.15,25.68
DL010,87.18,357.72,48.0,62.82,72.51,33.64
DL010,108.0,319.06,64.54,49.54,79.06,24.98
DL010,84.51,205.4,24.51,30.59,36.25,23.29
DL010,78.29,197.39,8.3,37.15,26.53,28.13
DL010,110.04,253.38,11.4,41.46,31.37,35.5
DL010,109.9,275.6,22.23,43.91,41.55,38.17
DL010,106.66,308.06,33.81,50.79,54.57,34.69
DL010,75.31,264.24,16.24,55.74,42.86,31.91
DL010,130.56,277.3,10.03,35.97,27.31,34.33
DL010,38.55,147.91,4.89,24.2,16.86,25.44
DL010,74.27,175.19,3.24,27.08,17.05,32.73
DL010,60.29,155.54,3.64,21.52,14.42,27.82
DL010,81.58,205.14,5.71,28.1,19.6,34.52
DL010,93.45,227.56,10.58,36.53,28.02,30.93
DL010,72.24,232.04,33.34,46.75,52.11,29.63
DL010,97.59,349.84,66.55,63.98,88.21,28.68
DL010,101.38,338.79,106.36,72.43,125.18,25.62
DL010,99.07,355.85,51.65,68.5,78.53,26.72
DL010,53.92,207.33,4.08,34.95,21.91,24.88
DL010,71.3,262.58,6.91,33.52,23.43,33.53
DL010,88.47,188.4,16.86,47.37,38.94,39.73
DL010,103.7,184.02,37.4,53.3,58.88,35.96
DL010,103.46,259.5,78.51,78.67,105.75,37.4
DL010,132.24,265.19,96.78,73.77,118.16,41.14
DL010,84.96,322.69,22.34,51.14,45.34,32.51
DL010,131.66,336.7,24.23,54.86,48.91,31.75
DL010,57.35,298.23,14.96,53.21,40.42,21.58
DL010,65.22,290.54,30.93,63.02,58.7,28.58
DL010,92.68,307.1,49.64,63.3,74.15,31.74
DL010,69.26,267.82,17.74,50.07,41.1,34.22
DL010,52.45,268.77,4.81,38.04,24.17,25.27
DL010,53.43,234.08,6.37,38.29,25.59,29.81
DL010,51.88,200.6,4.58,28.57,18.93,31.72
DL010,48.86,235.15,24.5,41.61,42.11,43.34
DL010,48.88,230.82,12.45,32.26,27.3,21.59
DL010,15.11,65.6,3.74,28.0,17.94,17.25
DL010,35.95,117.99,5.6,39.15,25.4,25.2
DL010,91.5,234.03,17.05,48.27,39.53,30.08
DL010,112.21,308.43,31.67,57.22,56.28,36.25
DL010,87.9,293.21,37.79,56.98,61.05,28.65
DL010,105.02,365.16,66.25,76.1,94.45,31.87
DL010,111.27,394.52,51.9,65.75,77.35,37.22
DL010,74.03,326.78,15.42,58.8,43.84,26.52
DL010,75.84,335.59,3.14,45.29,26.65,24.77
DL010,83.11,297.38,22.41,53.85,46.97,40.57
DL010,66.96,333.84,6.17,32.6,22.14,30.62
DL010,72.86,321.97,11.97,36.21,29.0,35.88
DL010,94.9,392.57,40.61,51.26,60.43,40.12
DL010,85.62,386.79,30.38,72.57,63.34,39.74
DL010,106.79,422.83,35.61,73.13,67.91,40.96
DL010,69.98,355.85,12.07,42.58,32.51,27.32
DL010,49.22,195.1,10.99,43.99,32.37,26.67
DL010,116.72,302.97,14.18,48.58,37.38,30.93
DL010,56.12,258.02,39.96,50.92,59.8,27.32
DL010,123.89,352.2,63.15,60.47,83.75,39.01
DL010,142.76,516.53,93.3,61.41,108.73,35.77
DL010,143.5,523.09,59.21,53.37,76.62,36.44
DL010,118.14,486.97,29.17,45.11,47.77,33.63
DL010,71.29,360.06,9.02,34.72,25.81,26.11
DL010,100.09,335.64,4.2,31.67,20.24,30.6
DL010,166.55,518.06,7.61,36.66,25.7,33.79
DL010,210.67,506.32,11.19,47.43,34.38,49.27
DL010,51.55,193.03,7.47,35.61,25.02,23.34
DL010,72.35,290.27,26.74,70.3,59.16,30.19
DL010,72.1,310.47,20.0,52.84,44.38,20.45
DL010,71.94,363.77,23.66,47.86,44.72,22.37
DL010,40.02,133.2,3.21,28.31,17.69,22.09
DL010,105.17,313.34,11.42,46.99,34.27,28.54
DL010,119.32,365.39,20.02,54.83,45.43,32.0
DL010,86.21,287.82,13.0,45.04,34.51,32.0
DL010,74.28,309.13,38.88,46.17,56.3,30.59
DL010,89.79,305.67,18.01,47.2,39.74,28.35
DL010,42.34,178.15,16.19,43.15,36.12,23.87
DL010,44.75,174.16,2.62,26.3,16.15,21.37
DL010,66.5,199.77,5.51,33.86,22.53,33.25
DL010,68.03,249.08,10.01,46.99,33.11,30.56
DL010,77.77,273.49,21.71,55.22,47.04,35.2
DL010,83.05,274.78,39.71,55.24,61.79,33.38
DL010,97.41,385.56,66.76,61.79,87.19,32.04
DL010,79.19,428.54,49.93,47.12,65.78,31.84
DL010,85.36,419.76,24.53,51.44,47.42,26.26
DL010,70.8,314.57,2.38,36.24,21.24,22.05
DL010,62.43,398.31,2.29,28.32,16.93,19.32
DL010,51.99,267.92,4.19,38.22,23.73,24.01
DL010,67.91,308.94,6.59,48.38,31.1,25.0
