Date,StationId,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,DL002,347.59,580.33,230.06,232.34,251.39,20.94
2018-11-12,DL002,354.95,620.11,175.93,168.92,216.2,29.32
2018-11-13,DL002,342.32,535.08,119.69,145.76,170.8,18.12
2018-11-14,DL002,174.59,292.01,110.83,119.51,153.9,21.6
2018-11-15,DL002,112.51,217.82,120.85,102.12,155.02,22.7
2018-11-16,DL002,146.86,297.68,186.3,112.92,211.92,22.49
2018-11-17,DL002,177.6,401.42,219.16,137.73,231.19,6.99
2018-11-18,DL002,214.24,444.52,107.45,129.78,131.88,9.44
2018-11-19,DL002,226.15,352.86,9.41,86.99,53.25,3.75
2018-11-20,DL002,261.3,474.24,187.41,147.98,214.9,9.59
2018-11-21,DL002,245.47,506.24,277.0,145.29,300.03,8.2
2018-11-22,DL002,170.8,448.4,259.85,157.4,302.47,8.76
2018-11-23,DL002,215.5,432.07,199.83,127.22,226.4,8.68
2018-11-24,DL002,122.88,314.61,150.95,100.93,199.86,6.39
2018-11-25,DL002,188.61,471.08,234.12,138.38,254.8,12.14
2018-11-26,DL002,255.03,539.29,165.85,158.75,212.77,14.08
2018-11-27,DL002,261.51,533.77,174.0,155.08,188.05,11.91
2018-11-28,DL002,234.24,479.64,218.66,120.09,240.87,9.54
2018-11-29,DL002,300.95,568.78,291.16,131.78,301.83,5.58
2018-11-30,DL002,242.66,507.5,286.53,118.72,298.7,4.22
2018-12-01,DL002,180.17,437.11,242.62,118.8,257.33,5.69
2018-12-02,DL002,256.62,554.99,220.69,149.47,252.83,10.92
2018-12-03,DL002,278.67,527.86,186.59,130.62,252.3,8.62
2018-12-04,DL002,332.36,615.7,267.65,138.31,292.5,17.37
2018-12-05,DL002,253.28,511.64,226.47,115.02,256.18,24.59
2018-12-06,DL002,311.07,575.62,254.7,124.58,276.04,28.08
2018-12-07,DL002,246.91,517.2,279.05,132.08,306.16,22.27
2018-12-08,DL002,257.57,506.47,232.42,139.45,294.09,23.35
2018-12-09,DL002,299.18,535.93,246.83,144.95,276.2,29.23
2018-12-10,DL002,330.9,520.51,201.33,114.88,239.86,27.23
2018-12-11,DL002,338.6,567.64,187.21,116.47,240.58,23.94
2018-12-12,DL002,243.02,379.03,102.97,85.37,129.29,21.78
2018-12-13,DL002,114.97,190.79,107.27,74.44,127.0,15.83
2018-12-14,DL002,116.32,210.69,153.57,94.42,175.4,16.08
2018-12-15,DL002,130.32,232.46,168.42,108.04,194.77,15.9
2018-12-16,DL002,177.8,334.67,217.66,125.71,245.11,16.9
2018-12-17,DL002,186.62,361.79,225.99,125.81,251.7,18.81
2018-12-18,DL002,216.54,413.43,222.47,145.81,256.05,19.22
2018-12-19,DL002,267.77,440.08,256.24,157.75,285.51,19.77
2018-12-20,DL002,324.11,568.59,264.12,160.19,299.71,20.65
2018-12-21,DL002,292.28,488.87,196.23,178.98,151.52,14.36
2018-12-22,DL002,435.97,615.98,229.05,178.69,219.08,15.59
2018-12-23,DL002,562.62,668.56,158.07,161.9,215.39,18.46
2018-12-24,DL002,586.66,566.44,207.53,149.16,249.35,16.5
2018-12-25,DL002,279.99,438.67,208.14,123.71,237.13,9.21
2018-12-26,DL002,296.0,484.42,220.64,141.99,249.55,11.04
2018-12-27,DL002,377.12,548.65,203.03,132.87,236.61,18.31
2018-12-28,DL002,274.46,417.77,183.18,116.1,211.27,8.07
2018-12-29,DL002,319.45,545.17,270.49,140.85,287.25,14.26
2018-12-30,DL002,512.55,616.14,140.91,182.29,218.39,17.15
2018-12-31,DL002,431.14,550.45,162.41,149.55,220.09,15.88
2019-01-01,DL002,378.07,559.76,147.76,146.01,208.43,15.29
2019-01-02,DL002,416.65,615.05,177.96,132.27,212.0,14.12
2019-01-03,DL002,424.08,605.67,249.42,135.9,279.69,10.8
2019-01-04,DL002,289.32,423.98,197.71,107.83,217.57,5.62
2019-01-05,DL002,249.64,354.61,62.2,84.6,95.69,6.51
2019-01-06,DL002,192.5,277.67,128.44,88.65,151.07,5.09
2019-01-07,DL002,199.52,303.92,200.32,109.73,221.47,7.61
2019-01-08,DL002,152.05,245.64,167.34,95.67,187.35,6.94
2019-01-09,DL002,152.59,266.78,179.21,101.93,200.28,8.08
2019-01-10,DL002,195.09,380.41,218.27,123.87,241.34,9.85
2019-01-11,DL002,344.72,509.22,192.71,125.97,218.22,17.08
2019-01-12,DL002,447.78,576.83,155.45,151.58,208.26,14.4
2019-01-13,DL002,330.18,468.49,122.37,122.94,179.36,11.08
2019-01-14,DL002,96.24,196.16,125.88,88.92,149.79,7.08
2019-01-15,DL002,135.9,256.08,191.67,101.32,208.28,8.53
2019-01-16,DL002,313.9,511.7,140.5,125.8,195.72,13.41
2019-01-17,DL002,423.75,597.3,307.49,123.9,339.56,12.81
2019-01-18,DL002,256.85,437.78,19.41,85.76,61.87,10.03
2019-01-19,DL002,336.85,587.43,164.29,169.94,190.77,12.68
2019-01-20,DL002,411.78,604.08,152.22,201.52,242.78,18.34
2019-01-21,DL002,182.69,345.76,82.15,99.92,117.32,8.03
2019-01-22,DL002,57.99,73.04,30.44,67.41,60.08,5.62
2019-01-23,DL002,153.56,258.54,159.08,94.17,179.81,7.9
2019-01-24,DL002,146.25,269.18,81.06,75.88,106.44,9.04
2019-01-25,DL002,76.57,154.76,75.43,80.53,104.42,6.1
2019-01-26,DL002,93.51,185.38,80.24,81.35,108.7,7.87
2019-01-27,DL002,126.88,239.9,126.8,86.88,149.8,7.09
2019-01-28,DL002,120.84,234.93,139.34,94.15,163.77,7.24
2019-01-29,DL002,144.31,288.99,174.14,101.38,195.56,11.05
2019-01-30,DL002,230.1,464.68,228.95,116.43,248.75,30.55
2019-01-31,DL002,245.92,452.68,115.67,85.76,139.85,24.33
2019-02-01,DL002,197.76,307.06,68.09,73.76,94.7,23.06
2019-02-02,DL002,218.12,341.55,107.9,66.88,119.46,6.19
2019-02-03,DL002,164.28,285.93,93.97,57.99,107.47,8.15
2019-02-04,DL002,186.67,403.85,146.33,122.32,183.14,11.58
2019-02-05,DL002,422.62,714.04,294.95,137.51,334.58,32.53
2019-02-06,DL002,190.73,301.37,52.55,91.59,91.54,11.88
2019-02-07,DL002,74.47,110.67,47.68,66.89,74.51,6.6
2019-02-08,DL002,95.18,238.06,163.78,97.74,191.01,12.23
2019-02-09,DL002,78.17,335.65,139.41,99.85,166.73,14.16
2019-02-10,DL002,119.03,467.56,212.37,127.62,243.14,17.54
2019-02-11,DL002,159.71,477.96,230.73,136.54,263.96,19.07
2019-02-12,DL002,219.62,403.92,200.26,136.04,237.62,31.01
2019-02-13,DL002,225.85,356.98,136.3,123.7,178.74,24.44
2019-02-14,DL002,175.7,236.48,61.62,83.22,94.53,12.19
2019-02-15,DL002,129.06,245.98,102.69,78.59,125.55,28.77
2019-02-16,DL002,131.58,239.12,123.12,68.91,137.01,8.54
2019-02-17,DL002,113.88,261.64,156.11,92.45,176.51,9.26
2019-02-18,DL002,114.59,264.24,80.81,89.51,113.23,15.69
2019-02-19,DL002,132.1,284.34,98.24,99.77,133.19,19.17
2019-02-20,DL002,110.8,220.76,55.93,81.23,88.81,28.52
2019-02-21,DL002,75.65,223.42,75.18,75.65,101.28,23.72
2019-02-22,DL002,93.71,289.74,93.96,72.57,114.54,9.16
2019-02-23,DL002,54.04,167.06,37.14,74.96,63.41,11.05
2019-02-24,DL002,82.53,212.58,26.94,101.67,60.34,14.44
2019-02-25,DL002,119.83,233.29,12.97,103.75,57.74,25.73
2019-02-26,DL002,71.1,164.65,9.32,75.54,40.94,20.22
2019-02-27,DL002,82.11,157.27,19.35,69.6,39.91,16.49
2019-02-28,DL002,134.47,322.41,28.05,91.82,55.92,16.67
2019-03-01,DL002,97.39,267.9,30.56,101.17,63.06,16.08
