Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,305.35,518.62,135.79,67.16,173.66,15.39
2018-11-12,305.85,520.35,80.72,58.18,109.6,15.12
2018-11-13,305.85,501.1,99.44,62.81,132.88,16.61
2018-11-14,155.88,287.75,45.84,50.95,64.51,14.3
2018-11-15,87.98,179.42,18.32,39.87,36.15,14.73
2018-11-16,114.07,236.98,8.12,41.9,30.5,12.9
2018-11-17,125.01,277.1,32.1,49.78,52.65,6.99
2018-11-18,155.47,368.02,104.67,56.04,115.13,9.44
2018-11-19,174.67,350.95,6.97,48.55,31.52,3.75
2018-11-20,243.12,401.65,34.04,52.7,56.7,9.59
2018-11-21,211.65,344.35,42.02,47.51,70.79,8.2
2018-11-22,140.94,303.18,82.46,57.05,99.49,8.76
2018-11-23,180.52,334.04,103.95,50.29,132.23,8.68
2018-11-24,122.88,248.23,14.24,44.93,35.51,6.39
2018-11-25,158.9,325.1,59.72,55.16,84.67,12.14
2018-11-26,194.81,373.54,118.72,58.67,150.94,14.08
2018-11-27,231.83,425.32,212.59,65.53,232.56,11.91
2018-11-28,234.24,430.97,181.05,76.43,188.56,9.54
2018-11-29,248.47,446.19,121.04,66.65,151.72,5.58
2018-11-30,197.28,356.11,70.36,66.89,98.25,4.53
2018-12-01,135.88,310.08,81.28,60.1,98.2,5.69
2018-12-02,187.34,424.94,183.75,72.7,215.71,10.92
2018-12-03,164.88,450.17,152.53,63.97,166.45,8.62
2018-12-04,219.72,451.95,192.2,68.49,228.89,15.27
2018-12-05,176.03,387.48,141.38,58.6,160.16,13.23
2018-12-06,282.02,483.75,181.59,69.45,215.89,22.7
2018-12-07,199.83,351.1,76.11,61.81,100.75,12.15
2018-12-08,230.04,389.53,83.28,63.68,111.69,14.53
2018-12-09,273.36,479.47,112.19,65.03,150.9,17.24
2018-12-10,278.83,520.51,102.35,69.43,132.38,16.26
2018-12-11,259.21,552.54,118.08,65.3,130.93,18.25
2018-12-12,205.67,379.03,60.33,53.73,77.76,13.24
2018-12-13,89.28,180.21,18.44,46.26,39.9,11.33
2018-12-14,102.35,171.17,16.49,46.67,40.02,10.4
2018-12-15,130.32,219.54,22.18,48.55,45.47,12.53
2018-12-16,167.04,267.33,28.13,49.75,50.49,12.79
2018-12-17,182.79,294.56,47.54,48.64,70.2,13.88
2018-12-18,203.31,334.75,41.56,49.88,68.86,14.24
2018-12-19,211.29,355.48,45.88,59.68,70.38,11.88
2018-12-20,261.53,428.53,94.59,57.43,122.58,13.86
2018-12-21,255.76,391.44,57.2,57.4,84.08,11.1
2018-12-22,358.25,571.65,105.06,70.5,123.14,15.59
2018-12-23,477.9,661.93,150.7,81.46,180.33,17.92
2018-12-24,499.98,566.44,175.95,74.98,183.31,16.5
2018-12-25,266.38,374.9,30.9,63.89,56.41,9.21
2018-12-26,260.27,422.88,81.25,66.61,101.63,11.04
2018-12-27,316.15,510.92,153.7,62.9,158.75,18.31
2018-12-28,266.21,409.54,28.07,54.57,54.66,8.07
2018-12-29,269.9,435.52,75.79,57.86,101.67,14.26
2018-12-30,418.04,595.52,156.57,66.81,215.69,16.45
2018-12-31,327.06,496.53,137.44,59.46,169.19,14.02
2019-01-01,311.38,490.75,102.15,61.23,123.6,14.72
2019-01-02,360.02,613.62,156.61,64.29,161.82,14.12
2019-01-03,380.88,556.48,106.03,59.38,137.28,10.8
2019-01-04,277.44,415.73,30.41,48.32,51.85,5.62
2019-01-05,249.64,370.71,46.9,58.06,67.85,6.51
2019-01-06,192.5,277.67,15.83,50.65,39.81,5.09
2019-01-07,179.0,275.74,30.07,48.53,51.5,7.61
2019-01-08,148.74,228.1,26.52,45.63,48.13,6.94
2019-01-09,141.73,240.27,19.44,50.47,43.87,8.08
2019-01-10,172.48,296.56,45.51,61.83,65.3,9.85
2019-01-11,287.85,491.62,109.89,72.02,127.91,17.08
2019-01-12,401.89,576.83,155.45,82.37,183.44,14.4
2019-01-13,318.46,468.49,97.24,60.04,137.55,11.08
2019-01-14,85.74,175.33,13.4,36.39,44.99,7.08
2019-01-15,135.9,253.02,23.52,49.85,58.04,8.53
2019-01-16,305.75,511.7,123.33,69.55,137.64,13.41
2019-01-17,398.54,572.42,85.81,68.62,124.0,12.81
2019-01-18,247.02,382.01,22.73,64.78,61.87,10.03
2019-01-19,286.01,484.81,124.58,69.91,163.8,12.68
2019-01-20,342.86,591.97,198.53,92.66,229.87,18.34
2019-01-21,182.69,342.02,61.93,50.29,77.26,8.03
2019-01-22,47.29,73.04,4.93,35.42,23.27,5.62
2019-01-23,139.18,234.89,39.11,46.81,64.27,7.9
2019-01-24,136.69,242.04,20.51,37.08,43.32,9.04
2019-01-25,73.4,128.44,4.28,32.4,24.03,6.1
2019-01-26,90.19,158.4,3.26,30.67,23.33,7.87
2019-01-27,116.51,194.86,8.71,37.3,33.71,7.09
2019-01-28,110.39,196.0,11.34,40.56,37.36,7.24
2019-01-29,133.46,228.38,25.21,46.06,53.36,11.05
2019-01-30,206.66,361.18,61.53,59.88,94.57,25.71
2019-01-31,223.64,412.01,67.14,53.25,97.32,24.33
2019-02-01,188.94,294.79,8.83,43.1,33.13,23.06
2019-02-02,197.52,297.77,8.53,35.58,31.24,6.19
2019-02-03,138.15,231.77,11.0,31.68,32.63,8.15
2019-02-04,170.96,328.54,55.15,49.55,72.85,11.58
2019-02-05,291.67,548.85,154.98,60.24,192.32,32.53
2019-02-06,181.12,298.31,32.78,43.69,49.97,11.88
2019-02-07,60.94,100.69,4.29,26.69,19.44,6.6
2019-02-08,84.25,179.04,17.28,33.82,38.15,12.23
2019-02-09,73.56,173.54,10.26,31.33,31.68,14.16
2019-02-10,119.03,232.04,30.54,41.43,57.46,17.54
2019-02-11,148.52,290.92,50.82,46.3,80.68,19.07
2019-02-12,196.79,362.33,68.45,54.46,92.44,30.27
2019-02-13,196.35,356.98,41.89,55.24,74.54,22.21
2019-02-14,161.77,236.48,17.88,40.5,41.61,12.19
2019-02-15,116.58,191.79,10.04,33.69,31.06,17.79
2019-02-16,114.0,188.4,8.51,30.52,23.63,8.54
