Date,StationId,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,DL016,218.35,385.36,275.39,78.75,268.88,26.07
2018-11-12,DL016,254.03,469.18,207.02,98.56,253.92,28.26
2018-11-13,DL016,244.91,439.12,156.29,99.15,179.89,24.49
2018-11-14,DL016,130.76,230.84,70.47,73.35,96.43,22.82
2018-11-15,DL016,94.15,185.3,39.38,59.09,63.49,21.26
2018-11-16,DL016,140.65,229.96,12.42,52.21,37.9,22.35
2018-11-17,DL016,129.97,253.56,67.7,65.31,89.92,26.2
2018-11-18,DL016,163.48,317.79,164.49,82.87,178.52,26.29
2018-11-19,DL016,192.57,346.93,26.38,82.02,65.12,24.04
2018-11-20,DL016,209.45,370.71,78.97,86.57,110.42,28.24
2018-11-21,DL016,217.66,371.25,100.18,73.04,120.5,24.46
2018-11-22,DL016,127.48,294.74,162.59,96.78,183.73,29.33
2018-11-23,DL016,179.46,344.43,109.33,73.6,125.27,19.45
2018-11-24,DL016,101.14,234.19,28.25,48.66,48.92,22.97
2018-11-25,DL016,119.99,270.21,94.34,66.34,112.17,24.57
2018-11-26,DL016,202.4,371.05,181.54,97.28,171.57,24.15
2018-11-27,DL016,190.98,357.5,151.88,105.53,248.15,17.02
2018-11-28,DL016,189.7,356.34,246.5,104.88,323.09,18.26
2018-11-29,DL016,189.58,349.73,179.34,93.75,195.47,12.4
2018-11-30,DL016,189.6,342.79,136.59,83.82,155.96,28.9
2018-12-01,DL016,161.31,323.34,97.28,87.88,122.94,23.02
2018-12-02,DL016,158.32,296.98,190.68,97.6,259.48,22.64
2018-12-03,DL016,189.28,363.68,213.89,102.38,225.73,22.26
2018-12-04,DL016,197.65,363.77,188.97,110.91,310.67,20.98
2018-12-05,DL016,180.75,345.29,212.67,91.65,222.63,21.23
2018-12-06,DL016,224.04,389.09,207.52,121.86,246.56,21.32
2018-12-07,DL016,204.19,358.29,197.82,85.31,210.46,18.43
2018-12-08,DL016,225.28,392.1,217.78,94.98,227.86,21.4
2018-12-09,DL016,262.47,430.55,229.49,109.17,274.21,24.02
2018-12-10,DL016,292.34,477.42,138.13,106.44,287.46,21.32
2018-12-11,DL016,302.22,480.31,226.61,102.96,284.03,18.09
2018-12-12,DL016,227.69,359.05,125.71,89.2,150.85,16.52
2018-12-13,DL016,101.1,178.03,75.73,61.59,94.47,18.44
2018-12-14,DL016,120.86,208.03,59.6,63.92,82.67,16.83
2018-12-15,DL016,141.03,237.08,49.9,65.16,75.3,17.4
2018-12-16,DL016,163.4,274.73,76.27,72.21,100.61,20.88
2018-12-17,DL016,211.06,345.5,152.55,84.29,169.44,21.15
2018-12-18,DL016,237.5,380.39,97.14,87.7,125.73,22.6
2018-12-19,DL016,211.62,352.4,104.11,87.69,130.58,21.55
2018-12-20,DL016,275.75,447.17,252.36,94.46,257.38,22.95
2018-12-21,DL016,292.29,440.65,171.68,103.77,189.72,24.81
2018-12-22,DL016,359.99,584.14,184.02,111.72,222.5,25.02
2018-12-23,DL016,437.94,680.71,96.36,97.73,234.32,24.4
2018-12-24,DL016,433.67,611.08,212.99,96.66,273.26,22.66
2018-12-25,DL016,316.29,448.82,91.68,68.73,111.24,17.63
2018-12-26,DL016,245.08,368.04,84.88,78.48,112.9,26.1
2018-12-27,DL016,306.25,455.29,170.53,86.63,255.59,24.03
2018-12-28,DL016,269.0,392.12,67.3,63.86,88.79,23.96
2018-12-29,DL016,256.75,398.25,105.6,67.43,119.57,25.07
2018-12-30,DL016,348.39,522.08,170.02,86.17,223.47,26.46
2018-12-31,DL016,358.61,528.76,226.65,78.27,225.6,22.65
2019-01-01,DL016,336.04,527.68,184.79,80.51,216.98,23.82
2019-01-02,DL016,362.73,552.51,134.23,97.3,158.42,38.9
2019-01-03,DL016,380.04,553.74,127.42,77.76,145.87,18.26
2019-01-04,DL016,261.4,394.07,88.11,69.07,108.95,23.12
2019-01-05,DL016,276.9,437.48,111.12,66.07,140.78,21.01
2019-01-06,DL016,194.24,272.43,47.4,54.5,67.85,20.42
2019-01-07,DL016,207.58,311.7,88.76,50.28,99.09,24.97
2019-01-08,DL016,177.27,261.6,46.82,43.85,61.53,18.0
2019-01-09,DL016,117.3,216.68,44.8,46.49,61.27,24.61
2019-01-10,DL016,178.66,287.75,88.63,57.47,100.25,25.78
2019-01-11,DL016,303.24,445.3,133.13,88.51,284.81,33.36
2019-01-12,DL016,334.92,436.75,221.04,97.51,248.13,27.09
2019-01-13,DL016,315.91,229.92,106.62,87.64,132.24,34.35
2019-01-14,DL016,95.93,69.56,12.17,48.59,35.77,31.3
2019-01-15,DL016,131.89,396.42,59.86,62.26,83.26,36.21
2019-01-16,DL016,295.71,454.92,238.8,115.39,254.28,42.16
2019-01-17,DL016,388.79,549.78,147.83,120.62,227.66,40.2
2019-01-18,DL016,265.19,411.76,129.3,98.57,154.83,26.64
2019-01-19,DL016,257.2,428.79,166.38,110.75,186.32,22.3
2019-01-20,DL016,320.95,512.29,193.28,154.58,209.3,17.72
2019-01-21,DL016,182.14,305.6,85.98,89.64,117.91,13.8
2019-01-22,DL016,51.16,71.05,18.76,61.53,48.02,14.25
2019-01-23,DL016,140.85,221.64,113.91,70.98,130.63,17.27
2019-01-24,DL016,141.35,235.47,94.36,67.1,112.69,16.23
2019-01-25,DL016,78.85,127.19,23.93,61.87,52.4,16.32
2019-01-26,DL016,103.52,164.77,18.06,56.72,44.9,15.76
2019-01-27,DL016,144.76,216.25,29.23,63.29,57.5,15.12
2019-01-28,DL016,126.08,210.08,40.74,68.12,69.41,15.0
2019-01-29,DL016,143.82,233.6,69.78,78.43,98.58,17.93
2019-01-30,DL016,214.94,347.29,120.9,102.57,149.09,23.33
2019-01-31,DL016,224.35,377.4,160.1,115.02,218.3,18.52
2019-02-01,DL016,185.56,267.55,42.71,78.31,76.49,15.36
2019-02-02,DL016,202.53,284.55,18.64,44.19,38.72,7.91
2019-02-03,DL016,147.84,225.52,24.07,43.72,42.86,7.08
2019-02-04,DL016,127.49,220.11,103.78,78.47,126.32,7.59
2019-02-05,DL016,236.52,381.24,154.5,105.1,190.03,13.27
2019-02-06,DL016,191.17,282.9,71.12,66.57,92.97,10.42
2019-02-07,DL016,69.0,103.47,15.75,39.45,33.83,8.98
2019-02-08,DL016,62.53,149.83,41.14,48.08,59.07,8.62
2019-02-09,DL016,74.14,163.25,34.15,42.61,50.42,8.02
2019-02-10,DL016,158.6,149.5,109.49,59.24,120.77,9.8
2019-02-11,DL016,191.97,276.27,167.77,89.69,184.52,13.27
2019-02-12,DL016,236.89,395.65,231.15,112.45,248.92,13.8
2019-02-13,DL016,212.04,348.26,192.44,98.67,212.0,9.12
2019-02-14,DL016,161.14,241.19,44.03,79.35,78.12,9.58
2019-02-15,DL016,124.69,189.07,39.11,61.49,64.62,7.5
2019-02-16,DL016,119.58,174.17,9.64,37.4,27.71,7.55
2019-02-17,DL016,101.75,169.25,31.5,48.84,51.57,10.34
2019-02-18,DL016,126.83,222.62,75.16,76.12,101.79,13.19
2019-02-19,DL016,131.99,239.08,81.12,92.27,115.22,14.17
2019-02-20,DL016,101.82,214.0,97.71,93.52,129.32,14.63
2019-02-21,DL016,70.91,196.96,125.56,87.97,149.19,31.2
2019-02-22,DL016,75.26,158.24,29.44,52.1,50.1,24.95
2019-02-23,DL016,49.51,103.2,9.57,51.57,34.57,28.22
