Date,PM2.5,PM10,NO,NO2,NOx,SO2
2018-11-11,221.48,483.33,84.58,54.9,98.2,25.89
2018-11-12,241.03,523.52,43.57,58.83,80.16,29.34
2018-11-13,229.45,458.66,60.68,58.31,80.52,26.8
2018-11-14,118.39,222.47,24.46,36.34,39.25,24.65
2018-11-15,99.92,197.99,18.18,31.82,31.73,19.95
2018-11-16,156.45,279.82,17.71,27.14,28.9,22.1
2018-11-17,129.02,290.82,24.82,31.56,37.06,19.94
2018-11-18,165.71,370.48,64.5,44.24,76.74,22.03
2018-11-19,158.29,327.62,8.44,37.51,26.85,22.51
2018-11-20,231.42,416.26,28.61,43.82,46.62,21.1
2018-11-21,213.36,411.99,31.31,31.54,42.34,22.23
2018-11-22,147.5,419.31,90.43,39.39,94.62,25.79
2018-11-23,164.62,337.57,69.12,33.04,73.95,24.54
2018-11-24,106.25,253.64,14.62,22.97,24.15,22.31
2018-11-25,115.71,304.04,37.21,29.52,46.2,21.79
2018-11-26,200.26,474.64,60.14,35.98,85.32,26.22
2018-11-27,204.42,546.24,114.93,50.97,144.09,17.78
2018-11-28,154.14,434.11,103.15,47.09,109.14,20.33
2018-11-29,201.12,420.16,70.6,37.8,78.01,17.88
2018-11-30,185.11,364.4,37.7,32.5,48.02,18.45
2018-12-01,152.67,374.56,30.78,52.72,53.4,20.95
2018-12-02,192.57,421.46,63.89,53.14,81.21,23.52
2018-12-03,133.88,429.48,69.36,45.07,85.66,22.24
2018-12-04,201.98,446.07,95.52,53.49,110.91,20.1
2018-12-05,198.02,445.16,74.26,51.35,87.87,20.87
2018-12-06,237.96,520.49,117.62,58.22,120.8,20.71
2018-12-07,218.38,419.66,21.75,38.43,41.33,20.36
2018-12-08,227.66,441.68,27.02,40.05,54.42,21.67
2018-12-09,248.01,436.58,37.88,53.88,59.54,22.82
2018-12-10,259.07,530.4,62.68,54.65,80.15,21.49
2018-12-11,260.76,539.69,48.58,51.0,66.71,19.15
2018-12-12,175.72,332.16,39.71,41.36,54.38,18.45
2018-12-13,85.83,206.2,12.72,30.76,27.25,17.53
2018-12-14,113.54,233.57,14.09,27.59,26.16,17.69
2018-12-15,121.74,254.71,11.54,25.87,23.17,18.32
2018-12-16,155.81,333.9,11.4,26.37,23.32,22.21
2018-12-17,217.58,461.56,41.07,39.75,54.6,21.96
2018-12-18,219.48,404.46,58.51,41.24,69.67,23.87
2018-12-19,149.12,438.67,50.85,44.34,74.37,24.18
2018-12-20,163.85,553.79,76.49,57.77,95.71,22.05
2018-12-21,177.27,512.8,61.54,58.77,83.17,20.08
2018-12-22,206.74,530.23,79.76,64.52,105.6,21.66
2018-12-23,279.83,584.7,121.03,83.53,130.31,20.32
2018-12-24,361.46,578.51,87.89,65.07,109.83,20.55
2018-12-25,286.42,462.27,41.94,51.74,59.5,16.55
2018-12-26,236.71,389.91,58.52,54.04,70.32,19.44
2018-12-27,264.62,510.93,117.32,63.48,128.62,21.84
2018-12-28,274.07,458.44,36.97,50.06,56.75,21.07
2018-12-29,260.81,474.45,74.45,55.91,90.38,20.87
2018-12-30,323.32,481.41,108.17,59.42,122.48,23.35
2018-12-31,394.95,680.66,104.47,61.03,117.62,23.33
2019-01-01,195.15,453.41,78.71,65.14,97.28,19.33
2019-01-02,260.53,472.24,136.49,79.17,155.94,20.24
2019-01-03,330.0,534.91,39.17,56.65,62.83,16.02
2019-01-04,255.22,472.87,39.64,47.12,57.41,17.0
2019-01-05,285.71,519.8,89.23,73.51,111.84,18.04
2019-01-06,176.03,279.62,10.57,45.72,33.0,17.3
2019-01-07,164.98,352.49,19.39,43.44,38.91,19.33
2019-01-08,168.05,316.88,22.89,40.81,41.1,18.38
2019-01-09,163.97,313.53,18.57,42.52,39.29,20.01
2019-01-10,179.67,419.71,54.47,47.76,69.72,22.91
2019-01-11,279.08,586.69,106.23,76.72,112.58,25.09
2019-01-12,298.98,661.43,91.42,71.85,109.05,21.46
2019-01-13,266.39,473.18,42.18,66.22,59.6,20.78
2019-01-14,112.57,236.42,8.6,32.13,24.1,22.56
2019-01-15,144.01,297.99,19.25,39.93,36.26,22.26
2019-01-16,269.01,511.19,98.81,71.7,120.75,25.85
2019-01-17,363.54,637.15,100.18,76.84,122.49,26.35
2019-01-18,199.64,431.72,52.13,61.47,75.22,14.1
2019-01-19,272.27,382.04,100.04,60.97,116.26,21.21
2019-01-20,211.33,546.42,193.48,88.68,195.86,24.2
2019-01-21,119.44,283.43,28.01,67.63,49.9,18.71
2019-01-22,53.55,75.67,9.2,34.92,26.04,17.49
2019-01-23,104.17,199.08,46.94,38.52,65.01,19.59
2019-01-24,136.62,274.21,38.43,42.01,59.59,18.71
