StationId,Date,PM2.5,PM10,NO,NO2,NOx,SO2
DL001,2018-11-11,232.36,415.28,1.72,79.86,43.87,23.48
DL001,2018-11-12,238.43,348.91,3.25,78.95,44.63,14.38
DL001,2018-11-13,284.83,427.4,19.98,112.54,76.15,21.33
DL001,2018-11-14,150.41,214.16,6.35,96.17,56.3,12.74
DL001,2018-11-15,106.11,154.36,7.36,77.52,47.21,12.46
DL001,2018-11-16,146.23,211.34,2.01,60.29,33.65,11.64
DL001,2018-11-17,166.78,271.76,9.92,80.35,50.84,14.0
DL001,2018-11-18,218.54,346.77,23.88,99.55,72.53,19.79
DL001,2018-11-19,226.92,355.95,2.1,77.91,43.2,21.25
DL001,2018-11-20,,343.06,5.54,88.63,51.62,21.54
DL001,2018-11-21,,341.64,8.6,89.14,54.41,16.33
DL001,2018-11-22,,322.6,32.47,90.9,74.74,27.2
DL001,2018-11-23,,326.01,41.06,74.83,73.32,19.57
DL001,2018-11-24,86.52,206.06,2.71,57.95,33.01,18.24
DL001,2018-11-25,149.96,286.75,23.18,70.8,56.56,20.71
DL001,2018-11-26,182.33,353.69,59.33,78.23,89.98,30.86
DL001,2018-11-27,257.98,451.85,65.68,91.0,101.91,20.45
DL001,2018-11-28,230.46,372.59,18.9,92.46,64.62,17.92
DL001,2018-11-29,231.73,382.21,47.3,93.14,88.08,17.74
DL001,2018-11-30,205.27,369.52,25.03,89.45,68.0,22.29
DL001,2018-12-01,153.38,293.42,45.03,89.3,84.19,24.68
DL001,2018-12-02,179.6,341.4,90.5,84.61,118.78,24.2
DL001,2018-12-03,206.33,408.02,107.27,97.41,139.24,26.46
DL001,2018-12-04,245.3,473.36,153.62,114.4,186.08,24.45
DL001,2018-12-05,206.46,380.36,99.65,102.06,135.81,22.97
DL001,2018-12-06,228.9,386.96,133.84,96.67,160.48,20.69
DL001,2018-12-07,191.86,354.11,51.83,89.74,89.96,18.61
DL001,2018-12-08,221.01,354.38,38.04,82.11,74.68,24.31
DL001,2018-12-09,216.12,336.65,64.08,80.47,94.94,34.31
DL001,2018-12-10,259.24,383.93,8.31,88.15,53.53,21.26
DL001,2018-12-11,252.92,365.9,8.01,79.75,48.92,19.72
DL001,2018-12-12,210.33,290.5,7.68,73.71,45.47,21.13
DL001,2018-12-13,78.0,115.42,5.47,61.26,37.06,18.57
DL001,2018-12-14,98.81,158.25,9.09,68.82,44.01,18.66
DL001,2018-12-15,122.35,189.48,3.44,75.64,43.04,22.14
DL001,2018-12-16,158.71,234.88,12.01,88.82,57.03,24.59
DL001,2018-12-17,194.64,315.25,49.7,103.13,95.39,22.4
DL001,2018-12-18,210.9,328.62,22.17,102.5,72.63,27.25
DL001,2018-12-19,255.17,380.98,32.73,106.54,83.34,28.56
DL001,2018-12-20,322.01,464.68,100.45,103.84,137.0,30.89
DL001,2018-12-21,263.78,379.29,30.25,112.07,84.27,24.61
DL001,2018-12-22,323.31,429.93,24.87,90.08,68.16,25.9
DL001,2018-12-23,334.3,419.71,14.47,82.4,55.59,19.42
DL001,2018-12-24,323.21,473.4,67.91,103.51,110.46,25.14
