Date,Open*,High,Low,Close**,Volume,Market Cap
"Nov 27, 2020","17,153.91","17,445.02","16,526.42","17,108.40","38,88,64,94,645","3,17,46,44,60,530"
"Nov 26, 2020","18,729.84","18,866.29","16,351.03","17,150.62","61,39,68,35,737","3,18,23,19,64,319"
"Nov 25, 2020","19,104.41","19,390.97","18,581.15","18,732.12","43,71,03,57,371","3,47,55,88,03,507"
"Nov 24, 2020","18,365.01","19,348.27","18,128.66","19,107.46","51,46,95,65,009","3,54,50,43,61,032"
"Nov 23, 2020","18,370.02","18,711.43","18,000.80","18,364.12","42,74,11,12,308","3,40,69,80,70,308"
"Nov 22, 2020","18,642.23","18,688.97","17,671.38","18,370.00","41,28,04,34,226","3,40,79,01,83,317"
"Nov 21, 2020","18,621.32","18,936.62","18,444.36","18,642.23","39,65,02,10,707","3,45,81,92,34,185"
"Nov 20, 2020","17,817.08","18,773.23","17,765.80","18,621.31","36,99,28,73,940","3,45,41,18,81,099"
"Nov 19, 2020","17,803.86","18,119.55","17,382.55","17,817.09","36,98,50,55,355","3,30,47,51,67,134"
"Nov 18, 2020","17,645.19","18,393.95","17,352.91","17,804.01","49,06,48,00,278","3,30,21,80,14,062"
"Nov 17, 2020","16,685.69","17,782.92","16,564.54","17,645.41","39,00,68,49,170","3,27,25,70,94,857"
"Nov 16, 2020","15,955.58","16,816.18","15,880.71","16,716.11","31,52,67,66,675","3,09,88,94,23,249"
"Nov 15, 2020","16,068.14","16,123.11","15,793.53","15,955.59","23,65,38,67,583","2,95,79,05,51,598"
"Nov 14, 2020","16,317.81","16,317.81","15,749.19","16,068.14","27,48,17,10,135","2,97,87,70,68,423"
"Nov 13, 2020","16,276.44","16,463.18","15,992.15","16,317.81","31,59,94,92,172","3,02,50,55,33,181"
"Nov 12, 2020","15,701.30","16,305.00","15,534.77","16,276.34","34,17,57,58,344","3,01,73,68,53,825"
"Nov 11, 2020","15,290.91","15,916.26","15,290.01","15,701.34","29,77,23,74,934","2,91,07,72,14,052"
"Nov 10, 2020","15,332.35","15,450.33","15,124.96","15,290.90","25,57,49,38,143","2,83,46,83,80,961"
"Nov 9, 2020","15,479.60","15,785.14","14,865.53","15,332.32","34,14,91,15,566","2,84,23,61,08,837"
"Nov 8, 2020","14,833.75","15,637.32","14,744.11","15,479.57","26,63,20,75,029","2,86,95,51,82,899"
"Nov 7, 2020","15,565.88","15,737.10","14,423.20","14,833.75","35,02,49,53,706","2,74,97,03,33,140"
"Nov 6, 2020","15,579.73","15,903.44","15,226.84","15,565.88","39,83,78,41,971","2,88,52,69,20,959"
"Nov 5, 2020","14,133.73","15,706.40","14,102.09","15,579.85","40,85,63,21,439","2,88,77,15,09,681"
"Nov 4, 2020","13,950.49","14,218.77","13,580.47","14,133.71","35,11,63,64,962","2,61,95,42,13,176"
"Nov 3, 2020","13,550.45","13,984.98","13,325.44","13,950.30","29,86,99,51,617","2,58,54,14,41,764"
"Nov 2, 2020","13,737.03","13,808.32","13,243.16","13,550.49","30,77,14,55,468","2,51,11,98,64,445"
"Nov 1, 2020","13,780.99","13,862.03","13,628.38","13,737.11","24,45,38,57,900","2,54,56,97,59,063"
"Oct 31, 2020","13,546.53","14,028.21","13,457.53","13,780.99","30,30,64,64,719","2,55,37,20,71,116"
"Oct 30, 2020","13,437.87","13,651.52","13,136.20","13,546.52","30,58,14,85,201","2,51,01,81,54,920"
"Oct 29, 2020","13,271.30","13,612.05","12,980.06","13,437.88","56,49,94,99,598","2,48,99,53,22,466"
"Oct 28, 2020","13,654.21","13,837.70","12,932.25","13,271.29","35,86,73,18,895","2,45,89,98,24,465"
