Date,Open*,High,Low,Close**,Volume,Market Cap
"Feb 06, 2019",107.57,107.57,102.93,104.92,"2,59,30,48,199","10,99,02,66,833"
"Feb 05, 2019",107.63,108.13,106.91,107.44,"2,51,58,63,999","11,25,30,35,388"
"Feb 04, 2019",107.63,108.7,107.07,107.82,"2,49,18,88,675","11,29,09,69,364"
"Feb 03, 2019",110.49,110.83,106.56,107.49,"2,51,93,34,757","11,25,48,70,706"
"Feb 02, 2019",107.47,110.65,106.76,110.43,"2,38,51,57,838","11,56,07,65,573"
"Feb 01, 2019",107.15,108.64,105.05,107.61,"2,54,12,71,519","11,26,38,15,610"
"Jan 31, 2019",108.9,110.46,106.53,107.06,"2,82,87,96,031","11,20,47,35,502"
"Jan 30, 2019",105.41,109.45,104.84,108.91,"2,87,43,70,355","11,39,62,82,341"
"Jan 29, 2019",106.72,107.17,104,105.6,"2,90,04,18,606","11,04,83,47,342"
"Jan 28, 2019",113.29,113.69,103.34,106.59,"3,36,68,95,505","11,15,04,61,958"
"Jan 27, 2019",116.51,116.69,113.41,113.41,"2,77,58,88,287","11,86,16,71,822"
"Jan 26, 2019",116.37,118.08,115.98,116.49,"2,41,21,81,169","12,18,23,38,148"
"Jan 25, 2019",117.59,117.8,115.83,116.38,"2,60,68,81,898","12,16,89,32,300"
"Jan 24, 2019",117.46,118.03,116.01,117.36,"2,52,08,43,420","12,26,99,92,351"
"Jan 23, 2019",118.71,119.42,116.38,117.45,"2,55,69,52,198","12,27,74,81,872"
"Jan 22, 2019",117.11,119.66,114.68,118.75,"2,55,25,07,405","12,41,09,72,241"
"Jan 21, 2019",119.64,119.72,116.16,117.16,"2,42,17,20,343","12,24,29,40,197"
"Jan 20, 2019",124.63,125.07,118.7,119.47,"2,96,41,08,269","12,48,31,36,112"
"Jan 19, 2019",121.61,125.9,121.16,124.52,"3,04,82,61,797","13,00,79,54,846"
"Jan 18, 2019",123.65,123.84,120.24,121.01,"2,30,53,89,800","12,63,92,34,713"
"Jan 17, 2019",123.57,124.27,120.82,123.74,"2,59,40,91,285","12,92,23,47,330"
"Jan 16, 2019",121.81,127.12,121.44,123.55,"2,74,64,69,340","12,89,98,12,275"
"Jan 15, 2019",129.17,130.74,120.31,122.03,"2,73,54,49,164","12,73,95,43,688"
"Jan 14, 2019",116.98,130.86,116.97,129.07,"2,79,80,85,735","13,47,17,54,802"
"Jan 13, 2019",125.91,126.27,116.09,116.9,"2,26,82,63,944","12,19,92,88,487"
"Jan 12, 2019",127.53,128.67,125.45,125.97,"2,21,21,09,224","13,14,34,26,379"
"Jan 11, 2019",127.81,130.17,125.24,127.55,"2,66,75,85,234","13,30,62,14,134"
"Jan 10, 2019",150.84,152.15,126.53,128.63,"3,39,77,34,456","13,41,62,63,931"
"Jan 09, 2019",150.55,153.62,150.29,150.8,"2,36,92,41,197","15,72,68,45,711"
"Jan 08, 2019",151.97,153.63,148.67,150.36,"2,45,98,08,140","15,67,78,89,902"
"Jan 07, 2019",157.81,158.45,151.15,151.7,"2,71,21,08,388","15,81,48,68,678"
"Jan 06, 2019",155.8,159.37,152.09,157.75,"3,23,12,94,371","16,44,24,29,109"
"Jan 05, 2019",154.34,160.82,154.34,155.64,"3,33,82,11,928","16,21,99,74,745"
"Jan 04, 2019",148.91,156.88,147.91,154.58,"3,12,61,92,535","16,10,70,68,093"
"Jan 03, 2019",155.2,155.86,147.2,149.14,"2,67,61,64,880","15,53,68,49,936"
"Jan 02, 2019",141.52,156.93,140.65,155.05,"3,32,82,40,369","16,15,00,49,902"
"Jan 01, 2019",133.42,141.4,132.65,140.82,"2,25,87,09,868","14,66,53,18,370"
"Dec 31, 2018",140.03,140.18,132.52,133.37,"2,35,83,60,234","13,88,68,37,730"
"Dec 30, 2018",137.63,140.69,133.98,139.86,"2,66,00,86,834","14,56,00,66,114"
"Dec 29, 2018",138.47,147.03,134.57,138.02,"3,16,90,29,972","14,36,57,97,196"
"Dec 28, 2018",116.9,137.65,115.69,137.65,"3,13,02,01,009","14,32,45,11,544"
